,url,date,companies,title sentiment,title subjectivity,body sentiment,body subjectivity,most scandalous sentence,scandal metric,topic,top 10
0,https://edition.cnn.com/2024/02/08/politics/biden-age-concerns-analysis/index.html,"February 9, 2024","{'Trump', 'SSRS', 'The White House', 'Oval Office', 'the Diplomatic Room of the White House', 'CNN', 'Biden', 'CNN Sans ™ & ©', 'Cable News Network', 'Tillis', 'GOP', 'Warner Bros. Discovery Company', 'the White House'}",-0.1,0.4,-0.1,0.4,Contamination :  This is underscored by the fact that Biden is for example dealing with two wars in Ukraine and Gaza that constantly threaten to spill out of control and embroil the world in a much wider conflict,0.67,sport,False
1,https://edition.cnn.com/2024/02/10/politics/kamala-harris-joe-biden-gaza-israel-arab-americans/index.html,"February 10, 2024","{'sayFollow', 'Uncommitted', 'Supreme Court', 'ACCESS Reproductive Justice', 'Biden-Harris', 'ACCESS RJ', 'CNN', 'Biden', 'CNN Sans ™ & ©', 'Cable News Network', 'White House', 'Hamas', 'Warner Bros. Discovery Company', 'the White House'}",0.0,0.0,0.0,0.0,"Contamination :                  The now-postponed meeting, which has not been previously reported, is part of a concerted effort by the administration to hear from members of the Arab American community, including this past week in Michigan after a push by leaders and activists to meet with White House officials",0.67,politics,False
2,https://edition.cnn.com/2024/02/11/europe/rollercoaster-accident-spain-intl/index.html,"February 11, 2024","{'Reuters', 'PortAventura', 'PortAventura World', 'CNN Sans ™ & ©', 'Cable News Network', 'Warner Bros. Discovery Company'}",0.0,0.0,0.0,0.0,"Contamination :                  “This Sunday morning, due to strong winds… there was an incident caused by a tree falling close to the Tomahawk ride,” the theme park said in a statement, per Reuters",0.64,sport,False
3,https://edition.cnn.com/2024/02/08/entertainment/one-day-ambika-mod-interview/index.html,"February 8, 2024","{'Warner Bros. Discovery Company', 'Mod', 'the Durham Revue', 'CNN', 'CNN Sans ™ & ©', 'Cable News Network', 'BBC', 'HBO', 'Netflix'}",0.2,0.4,0.2,0.4,"Eutrophication :                  What followed was a month-long process of auditions and screen tests with her soon-to-be co-star Leo Woodall, who at the time was awaiting his own TV  breakout as Jack, the mysterious “nephew” of Tom Hollander’s character in the second season of HBO’s “The White Lotus",0.58,sport,False
4,https://edition.cnn.com/travel/chinese-zodiac-predictions-2024-intl-hnk/index.html,"February 10, 2024","{'Generally,', 'Warner Bros. Discovery Company', 'Jia symbolizes wood', 'Tigers', 'CNN Sans ™ & ©', 'Challenges', 'Monkeys', 'Cable News Network', 'Roosters', 'Oxen'}",0.0,0.0,0.0,0.0,"Destruction :      Related articleEnter the Year of the Dragon: A 2024 guide to Lunar New Year             “According to ancient Chinese philosophy, Tigers and Dragons have a complicated relationship",0.68,entertainment,False
5,https://edition.cnn.com/2024/02/05/health/cdc-anti-smoking-campaign/index.html,"February 5, 2024","{'State of Tobacco Control', 'Office of Management and Budget', 'Cable News Network', 'the US Food and Drug Administration', 'the White House’s', 'American Lung Association', 'CNN Sans ™ & ©', 'the Columbia Mailman School of Public Health', 'CNN Health', 'CNN', 'the US Centers for Disease Control and Prevention’s national Tips From Former Smokers', 'Banning', 'Council on Foreign Relations', 'the White House', 'Office on Smoking and Health', 'the Little Travers Bay Bands', 'Giovenco', 'White House', 'the American Lung Association', 'Warner Bros. Discovery Company', 'CDC'}",0.0,0.0,0.0,0.0,"Contamination :  It also enhances the effects of nicotine on the brain and can make cigarettes even more addictive, according to the CDC",0.71,sport,False
6,https://edition.cnn.com/2024/02/10/entertainment/greys-anatomy-jessica-capshaw-arizona-robbins/index.html,"February 10, 2024","{'Grey Sloan Memorial Hospital', 'Capshaw', 'Television Critics Association', 'CNN Sans ™ & ©', 'Cable News Network', 'Warner Bros. Discovery Company', 'ABC'}",0.1875,0.25,0.1875,0.25,"Contamination :  Arizona Robbins when it returns next monthFollow:             Prime time’s longest-running TV medical drama is gearing up for its 20th season next month, and at least one familiar face will be back in the hallways of Grey Sloan Memorial Hospital",0.6,sport,False
7,https://edition.cnn.com/2024/02/08/sport/kansas-city-chiefs-nfl-dynasty-patriots-spt-intl/index.html,"February 12, 2024","{'the Philadelphia Eagles', 'CNN Sport', 'Cable News Network', 'The Chiefs QB', 'MVP', 'Mahomes', 'Patriots', 'CNN Sans ™ & ©', 'State Farm', 'The Belichick-Brady Patriots', 'Chicago Bears', 'Twitter', 'the Dallas Cowboys', 'the Kansas City Chiefs', 'Texas Tech', 'CNN', 'The Kansas City Chiefs', 'Chiefs', 'Bears', 'NFL', 'the San Francisco', 'NFL MVP', 'the New England Patriots', 'NFL Hall of Famer', 'Warner Bros. Discovery Company'}",0.0,0.0,0.0,0.0,"Contamination : ”                 Like New England, the Chiefs under Reid and general manager Brett Veach have become elite at adapting to situations and fixing problems, all with the aim of winning",0.67,sport,False
8,https://edition.cnn.com/2024/02/07/politics/democrats-biden-election-polling/index.html,"February 7, 2024","{'Gallup', 'Quinnipiac', 'Warner Bros. Discovery Company', 'Dewey', 'Reuters', 'Electoral College', 'CNN', 'Biden', 'CNN Sans ™ & ©', 'Cable News Network', 'GOP', 'NBC News', 'Quinnipiac University'}",0.0,0.0,0.0,0.0,Contamination : )     Related articleBiden’s best path to reelection runs through the Great Lakes and not the Sun Belt             This is a far different situation for Democrats compared with the past few cycles,0.69,sport,False
9,https://edition.cnn.com/2024/02/11/europe/ukraine-russia-starlink-internet-intl/index.html,"February 11, 2024","{'Isaacson', 'Starlink', '83rd Air Assault Brigade', 'SpaceX', 'CNN Sans ™ & ©', 'Cable News Network', 'Warner Bros. Discovery Company', 'Defence Intelligence', 'the Main Ukrainian Intelligence Directorate'}",0.0,0.0,0.0,0.0,Contamination :                  It says it has intercepted conversations which indicate the Starlink terminals are being used to provide internet access to Russia’s 83rd Air Assault Brigade operating in the Donetsk region,0.69,sport,False
